x,pdf
40.00,0.000009
41.00,0.000012
42.00,0.000015
43.00,0.000019
44.00,0.000025
45.00,0.000032
46.00,0.000041
47.00,0.000052
48.00,0.000065
49.00,0.000082
50.00,0.000103
51.00,0.000128
52.00,0.000159
53.00,0.000196
54.00,0.000241
55.00,0.000296
56.00,0.000360
57.00,0.000437
58.00,0.000528
59.00,0.000635
60.00,0.000760
61.00,0.000906
62.00,0.001075
63.00,0.001270
64.00,0.001493
65.00,0.001749
66.00,0.002038
67.00,0.002366
68.00,0.002733
69.00,0.003144
70.00,0.003600
71.00,0.004105
72.00,0.004659
73.00,0.005265
74.00,0.005923
75.00,0.006633
76.00,0.007397
77.00,0.008211
78.00,0.009074
79.00,0.009984
80.00,0.010937
81.00,0.011927
82.00,0.012949
83.00,0.013996
84.00,0.015061
85.00,0.016135
86.00,0.017210
87.00,0.018274
88.00,0.019318
89.00,0.020331
90.00,0.021302
91.00,0.022221
92.00,0.023076
93.00,0.023858
94.00,0.024558
95.00,0.025165
96.00,0.025674
97.00,0.026076
98.00,0.026367
99.00,0.026544
100.00,0.026603
101.00,0.026544
102.00,0.026367
103.00,0.026076
104.00,0.025674
105.00,0.025165
106.00,0.024558
107.00,0.023858
108.00,0.023076
109.00,0.022221
110.00,0.021302
111.00,0.020331
112.00,0.019318
113.00,0.018274
114.00,0.017210
115.00,0.016135
116.00,0.015061
117.00,0.013996
118.00,0.012949
119.00,0.011927
120.00,0.010937
121.00,0.009984
122.00,0.009074
123.00,0.008211
124.00,0.007397
125.00,0.006633
126.00,0.005923
127.00,0.005265
128.00,0.004659
129.00,0.004105
130.00,0.003600
131.00,0.003144
132.00,0.002733
133.00,0.002366
134.00,0.002038
135.00,0.001749
136.00,0.001493
137.00,0.001270
138.00,0.001075
139.00,0.000906
140.00,0.000760
141.00,0.000635
142.00,0.000528
143.00,0.000437
144.00,0.000360
145.00,0.000296
146.00,0.000241
147.00,0.000196
148.00,0.000159
149.00,0.000128
150.00,0.000103
151.00,0.000082
152.00,0.000065
153.00,0.000052
154.00,0.000041
155.00,0.000032
156.00,0.000025
157.00,0.000019
158.00,0.000015
159.00,0.000012
160.00,0.000009
